seed,tau,Group,rs,rm
23,0.7,Overall,0.5052160953800298,0.4262295081967213
23,0.7,High-Risk,0.7,0.6
23,0.7,Low-Risk,0.14965986394557823,0.1292517006802721
24,0.3,Overall,0.8956780923994039,0.9225037257824144
24,0.3,High-Risk,0.9576923076923077,0.9730769230769231
24,0.3,Low-Risk,0.8,0.8733333333333333
24,0.4,Overall,0.8107302533532041,0.8390461997019374
24,0.4,High-Risk,0.9038461538461539,0.9230769230769231
24,0.4,Low-Risk,0.6533333333333333,0.7066666666666667
24,0.5,Overall,0.7108792846497765,0.7302533532041728
24,0.5,High-Risk,0.8538461538461538,0.8615384615384616
24,0.5,Low-Risk,0.4533333333333333,0.5266666666666666
24,0.6,Overall,0.6020864381520119,0.563338301043219
24,0.6,High-Risk,0.7576923076923077,0.7038461538461539
24,0.6,Low-Risk,0.36,0.31333333333333335
24,0.7,Overall,0.46795827123695977,0.38450074515648286
24,0.7,High-Risk,0.5923076923076923,0.5
24,0.7,Low-Risk,0.26,0.18
25,0.3,Overall,0.9061102831594635,0.9269746646795827
25,0.3,High-Risk,0.967479674796748,0.983739837398374
25,0.3,Low-Risk,0.7843137254901961,0.8300653594771242
25,0.4,Overall,0.842026825633383,0.8614008941877794
25,0.4,High-Risk,0.9471544715447154,0.9634146341463414
25,0.4,Low-Risk,0.6993464052287581,0.7124183006535948
25,0.5,Overall,0.7391952309985097,0.7540983606557377
25,0.5,High-Risk,0.9024390243902439,0.9024390243902439
25,0.5,Low-Risk,0.5294117647058824,0.5686274509803921
25,0.6,Overall,0.6378539493293591,0.6050670640834576
25,0.6,High-Risk,0.8333333333333334,0.7926829268292683
25,0.6,Low-Risk,0.39215686274509803,0.35947712418300654
25,0.7,Overall,0.5007451564828614,0.43517138599105815
25,0.7,High-Risk,0.6707317073170732,0.6178861788617886
25,0.7,Low-Risk,0.20915032679738563,0.16339869281045752
26,0.3,Overall,0.9061102831594635,0.9329359165424739
26,0.3,High-Risk,0.96484375,0.98046875
26,0.3,Low-Risk,0.8027210884353742,0.8571428571428571
26,0.4,Overall,0.8256333830104322,0.8450074515648286
26,0.4,High-Risk,0.93359375,0.95703125
26,0.4,Low-Risk,0.6394557823129252,0.6802721088435374
26,0.5,Overall,0.7213114754098361,0.7347242921013413
26,0.5,High-Risk,0.8828125,0.90234375
26,0.5,Low-Risk,0.4965986394557823,0.4897959183673469
26,0.6,Overall,0.6050670640834576,0.5573770491803278
26,0.6,High-Risk,0.76953125,0.74609375
26,0.6,Low-Risk,0.3197278911564626,0.2653061224489796
26,0.7,Overall,0.46646795827123694,0.4098360655737705
26,0.7,High-Risk,0.64453125,0.5703125
26,0.7,Low-Risk,0.14285714285714285,0.1564625850340136
27,0.3,Overall,0.9061102831594635,0.9284649776453056
27,0.3,High-Risk,0.984375,0.9921875
27,0.3,Low-Risk,0.8356164383561644,0.8698630136986302
27,0.4,Overall,0.8301043219076006,0.849478390461997
27,0.4,High-Risk,0.9296875,0.9453125
27,0.4,Low-Risk,0.726027397260274,0.7534246575342466
27,0.5,Overall,0.7451564828614009,0.7377049180327869
27,0.5,High-Risk,0.86328125,0.86328125
27,0.5,Low-Risk,0.5547945205479452,0.5753424657534246
27,0.6,Overall,0.61698956780924,0.5842026825633383
27,0.6,High-Risk,0.76953125,0.7421875
27,0.6,Low-Risk,0.410958904109589,0.3972602739726027
27,0.7,Overall,0.4903129657228018,0.4038748137108793
27,0.7,High-Risk,0.65234375,0.5625
27,0.7,Low-Risk,0.2876712328767123,0.19863013698630136
28,0.3,Overall,0.9314456035767511,0.9418777943368107
28,0.3,High-Risk,0.9647058823529412,0.9803921568627451
28,0.3,Low-Risk,0.8766233766233766,0.8831168831168831
